sim_time,trajectories,conflicts,components,actions
1.520,[1, 2, 3],[],,,
2.016,[1, 2, 3],[],,,
2.528,[1, 2, 3],[],,,
3.024,[1, 2, 3],[],,,
3.520,[1, 2, 3],[],,,
4.016,[1, 2, 3],[],,,
4.528,[1, 2, 3],[],,,
5.024,[1, 2, 3],[],,,
5.520,[1, 2, 3],[],,,
6.016,[1, 2, 3],[],,,
6.528,[1, 2, 3],[],,,
7.024,[1, 2, 3],[],,,
7.520,[1, 2, 3],[],,,
8.016,[1, 2, 3],[],,,
8.528,[1, 2, 3],[],,,
9.024,[1, 2, 3],[],,,
9.520,[1, 2, 3],[],,,
10.016,[1, 2, 3, 4],[],,,
10.528,[1, 2, 3, 4],[],,,
11.024,[1, 2, 3, 4],[],,,
11.520,[1, 2, 3, 4],[],,,
12.016,[1, 2, 3, 4],[],,,
12.528,[1, 2, 3, 4],[],,,
13.024,[1, 2, 3, 4],[],,,
13.520,[1, 2, 3, 4],[],,,
14.016,[1, 2, 3, 4],[],,,
14.528,[1, 2, 3, 4],[],,,
15.024,[1, 2, 3, 4],[],,,
15.520,[1, 2, 3, 4],[],,,
16.016,[1, 2, 3, 4],[],,,
16.528,[1, 2, 3, 4],[],,,
17.024,[1, 2, 3, 4],[],,,
17.520,[1, 2, 3, 4],[],,,
18.032,[1, 2, 3, 4],[],,,
18.528,[1, 2, 3, 4],[],,,
19.024,[1, 2, 3, 4],[],,,
19.520,[1, 2, 3, 4],[],,,
20.032,[1, 2, 3, 4],[],,,
20.528,[1, 2, 3, 4],[],,,
21.024,[1, 2, 3, 4],[],,,
21.520,[1, 2, 3, 4],[],,,
22.032,[1, 2, 3, 4],[],,,
22.528,[1, 2, 3, 4],[],,,
23.024,[1, 2, 3, 4],[],,,
23.520,[1, 2, 3, 4, 5, 7],[],,,
24.032,[1, 2, 3, 4, 5, 7],[],,,
24.528,[1, 2, 3, 4, 5, 7],[],,,
25.024,[1, 2, 3, 4, 5, 7],[],,,
25.520,[1, 2, 3, 4, 5, 7],[],,,
26.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
26.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
27.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
27.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
28.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
28.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
29.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
29.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
30.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
30.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
31.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
31.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
32.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
32.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
33.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
33.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
34.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
34.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
35.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
35.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
36.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
36.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
37.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
37.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
38.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
38.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
39.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
39.520,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
40.032,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
40.528,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
41.024,[1, 2, 3, 4, 5, 6, 7, 8],[],,,
