sim_time,robot_id,state,pos_x,pos_y,goal_x,goal_y,active_plan_source,active_plan_epoch,controller_epoch,controller_waypoint_idx,waypoints,current_task,hold_until,speed_scale
2.304,1,en_route_pickup,-4.096,2.941,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00
2.304,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00
2.304,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00
2.304,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.304,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.304,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.304,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.304,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.560,1,en_route_pickup,-4.118,2.968,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00
2.560,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00
2.560,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00
2.560,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.560,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.560,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.560,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.560,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.816,1,en_route_pickup,-4.142,2.991,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00
2.816,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00
2.816,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00
2.816,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.816,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.816,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.816,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
2.816,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.072,1,en_route_pickup,-4.157,3.000,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00
3.072,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00
3.072,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00
3.072,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.072,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.072,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.072,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.072,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.328,1,en_route_pickup,-4.176,2.998,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00
3.328,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00
3.328,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00
3.328,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.328,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.328,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
3.328,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
